title,genres,description,tags
Interstellar,Sci-Fi Drama,A team of astronauts travel through a wormhole to find humanity a new home,space time travel dimensional wormhole
The Dark Knight,Action Crime Thriller,Batman faces his greatest nemesis the Joker in a battle for Gotham's soul,superhero villain Gotham corruption
Inception,Sci-Fi Thriller,A thief extracts secrets from people's dreams in this mind-bending heist,dreams heist reality bending artificial reality
The Matrix,Sci-Fi Action,Humans discover reality is a computer simulation controlled by machines,dystopia AI awakening simulation awakening
Shutter Island,Psychological Thriller,A detective investigates a disappearance at a remote psychiatric hospital,mystery suspense conspiracy mental health
Pulp Fiction,Crime Drama,Multiple interconnected stories of Los Angeles criminals and gangsters,crime violence nonlinear storytelling dialogue
Forrest Gump,Drama Romance,A man with a low IQ witnesses major historical events while pursuing his childhood sweetheart,life journey love perseverance innocence
The Shawshank Redemption,Drama,Two imprisoned men bond over a number of years finding redemption through acts of common decency,prison friendship hope redemption
Dune,Sci-Fi Adventure,A young man travels to a dangerous planet to fulfill his destiny,epic space desert politics prophecy
Parasite,Thriller Drama,A poor family infiltrates a wealthy household leading to shocking consequences,class conflict suspense dark comedy thriller
Goodfellas,Crime Drama,The rise and fall of a mobster told by an insider,gangster crime violence power corruption
Blade Runner 2049,Sci-Fi Thriller,A cop in a dystopian future discovers a secret that could change everything,dystopia robots identity mystery
The Prestige,Mystery Thriller,Two magicians engage in an elaborate battle of deception and manipulation,magic obsession rivalry duality
Se7en,Crime Thriller,Two detectives hunt a serial killer who uses the seven deadly sins as motivation,serial killer darkness psychological mystery
Memento,Thriller Mystery,A man with short-term memory loss searches for his wife's killer,memory mystery twist revenge
Arrival,Sci-Fi Drama,A linguist attempts to communicate with mysterious alien visitors,aliens language communication sacrifice
Tenet,Sci-Fi Action,A spy must manipulate the flow of time to prevent a catastrophe,action time inversion complex
The Truman Show,Comedy Drama,A man discovers his entire life is actually a television show,simulation reality identity dark comedy
Donnie Darko,Sci-Fi Thriller,A troubled teen experiences visions of a mysterious figure,time travel parallel universe mental health
Interstellar,Sci-Fi Drama,Astronauts travel through a wormhole searching for a new habitable planet for humanity,space exploration wormhole survival

